Timestamp,لدي مشكلة في عضلة القلب، و الطييب سيقوم بشرح المشكلة لي، لذلك افضل ان  :,أنهيت مسابقة أو اختبار و أود الحصول على ملاحظات عن طريق..,عندما أتعلم ، أفضل أن :,عندما أريد أن أتعلم لعبة جديدة أو لعبة ورق، فإنني..,عندما ارغب في ايجاد الطريق إلى متجر أوصى به أحد الأصدقاء ، فإنني,"يحتوي موقع الويب على مقطع فيديو يوضح كيفية عمل رسم بياني أو مخطط خاص. هناك شخص يتحدث ، وبعض القوائم والكلمات تصف ما يجب فعله وبعض الرسوم البيانية. سوف أتعلم أكثر من: 
",أريد أن أتعلم القيام بشيء جديد باستخدام جهاز الكمبيوتر ، أود أن :,تريد توفير المال و لديك عدة خيارات، لذلك ..,عند اختيارك لمهنتك أو مجال دراستك، فالامور التي تفضلها هي ...,أرغب بشراء او استئجار منزل أو شقة ، قبل زيارته أود ان ...,أفضل مدرس هو الذي يستخدم:,أريد أن أتعلم كيفية التقاط صور أفضل، أود:,عندما أتعلم من الإنترنت، أحب:,أريد أن أتعرف على مشروع جديد ، أود أن أسأل عن :,"
تريد معرفة المزيد عن الجولة التي ستقوم بها. لذلك تود :",أريد تجميع طاولة خشبية ، سوف أتعلم كيفية القيام بذلك بشكل أفضل من : 
10/16/2020 18:25:28,"أن يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يشرح لي سبب المشكلة بنفسه","باستخدام أمثلة قمت بها, من شخص يتناقش معي","أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات","أن أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,"مشاهدة الإجراءات, رؤية المخططات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, التحدث مع الأشخاص الذين يعرفون البرنامج","أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات","التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, أرى مخطط يوضح الغرف و خريطة للمنطقة","العروض التوضيحية أو الجلسات العملية, نشرات أو كتب أو قراءات","استخدام الرسوم البيانية التي توضح الكاميرا و ما يقوم به كل جزء, طرح الأسئلة و التحدث عن الكاميرا و مميزاتها","التصميم و الميزات البصرية, مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","فرصة لمناقشة الموضوع, أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف, تقرير يصف السمات الرئيسية للمشروع","أتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, أستخدم الخريطة وأرى أين توجد الأماكن, أقرأ عن الجولة في خط سير الرحلة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/16/2020 18:27:25,"أن يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يقدم لي رسم بياني لسبب المشكلة",من شخص يتناقش معي,"أستخدم الأمثلة و التطبيقات, أحب رؤية الأنماط في الأشياء",أن أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها,أستخدم الخريطة,مشاهدة الإجراءات,,,تطبيق معرفتي في مواقف حقيقة,مشاهده فيديو للمتلكات,سؤال و جواي ، حديث ، مناقشة جماعية,,الاستماع إلى القنوات الصوتية حيث يمكنني الاستماع إلى البودكاست أو المقابلات,أمثلة ليتم استخدام المشروع بنجاح,أتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,"مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع"
10/16/2020 18:30:15,يشرح لي سبب المشكلة بنفسه,,"أستخدم الأمثلة و التطبيقات, أحب التحدث عن الأشياء",,,"الاستماع, رؤية المخططات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ","أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات","التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية","استخدام التعليمات المكتوبة حول ما يجب القيام به, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","التصميم و الميزات البصرية, مشاهدة مقاطع فيديو حول كيفية صنع الأشياء","مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف, تقرير يصف السمات الرئيسية للمشروع","أتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة","مخططات توضح كل مرحلة من مراحل التجميع, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/16/2020 18:31:48,"أن يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يقدم شيء أقرأه يشرح لي سبب المشكلة, يقدم لي رسم بياني لسبب المشكلة, يشرح لي سبب المشكلة بنفسه",من شخص يتناقش معي,"أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات, أحب رؤية الأنماط في الأشياء","أن أقرأ الإرشادات, أن أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستخدم الرسوم البيانية التي تشرح المراحل و الحركات و الاستراتيجيات المختلفة في اللعبة","أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه, أستخدم الخريطة","رؤية المخططات, قراءة الكلمات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ","أتحدث مع الخبراء حول الخيارات, أقرأ كتيب يصف الخيارات بالتفصيل, أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة","العمل مع التصاميم أو الخرائط أو الرسوم البيانية, التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية, نشرات أو كتب أو قراءات, مخططات ، خرائط ، رسوم بيانية","استخدام الرسوم البيانية التي توضح الكاميرا و ما يقوم به كل جزء, طرح الأسئلة و التحدث عن الكاميرا و مميزاتها, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","التصميم و الميزات البصرية, مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, الاستماع إلى القنوات الصوتية حيث يمكنني الاستماع إلى البودكاست أو المقابلات, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","فرصة لمناقشة الموضوع, أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف, تقرير يصف السمات الرئيسية للمشروع","أتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, أستخدم الخريطة وأرى أين توجد الأماكن, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة, أقرأ عن الجولة في خط سير الرحلة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/16/2020 18:33:00,يقدم شيء أقرأه يشرح لي سبب المشكلة,من شخص يتناقش معي,أستخدم الأمثلة و التطبيقات,أن أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها,أسال صديقي أن يخبرني عن الاتجاهات,رؤية المخططات,"أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, التحدث مع الأشخاص الذين يعرفون البرنامج","أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات","العمل مع التصاميم أو الخرائط أو الرسوم البيانية, التواصل مع الآخرين و مناقشتهم","المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة","سؤال و جواي ، حديث ، مناقشة جماعية, نشرات أو كتب أو قراءات","طرح الأسئلة و التحدث عن الكاميرا و مميزاتها, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها",مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,"فرصة لمناقشة الموضوع, تقرير يصف السمات الرئيسية للمشروع",أتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/16/2020 18:33:45,يشرح لي سبب المشكلة بنفسه,من شخص يتناقش معي,"أقرأ الكتب و المقالات, أحب التحدث عن الأشياء","أن أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,"الاستماع, رؤية المخططات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, التحدث مع الأشخاص الذين يعرفون البرنامج","أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات",تطبيق معرفتي في مواقف حقيقة,"مشاهده فيديو للمتلكات, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية","طرح الأسئلة و التحدث عن الكاميرا و مميزاتها, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف","أتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة, أقرأ عن الجولة في خط سير الرحلة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/16/2020 18:36:44,أن يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة,"باستخدام أمثلة قمت بها, من شخص يتناقش معي, باستخدام الرسوم البيانية التي تبين ما حققته, باستخدام وصف لنتائجي","أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات, أحب التحدث عن الأشياء, أحب رؤية الأنماط في الأشياء","أن أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة","أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه, أستخدم الخريطة","الاستماع, مشاهدة الإجراءات, رؤية المخططات, قراءة الكلمات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, التحدث مع الأشخاص الذين يعرفون البرنامج","أناقش كل الأمثلة باستخدام معلوماتي المالية, أقرأ كتيب يصف الخيارات بالتفصيل","العمل مع التصاميم أو الخرائط أو الرسوم البيانية, التواصل مع الآخرين و مناقشتهم, حسن استخدام الكلمات في المراسلات( الاتصالات الكتابية), تطبيق معرفتي في مواقف حقيقة","المناقشة مع المالك, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية, مخططات ، خرائط ، رسوم بيانية",طرح الأسئلة و التحدث عن الكاميرا و مميزاتها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,"أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف","أتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, أستخدم الخريطة وأرى أين توجد الأماكن","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/16/2020 18:37:16,"أن يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يشرح لي سبب المشكلة بنفسه","باستخدام أمثلة قمت بها, باستخدام الرسوم البيانية التي تبين ما حققته","أستخدم الأمثلة و التطبيقات, أحب رؤية الأنماط في الأشياء",أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,مشاهدة الإجراءات,"أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, التحدث مع الأشخاص الذين يعرفون البرنامج","أتحدث مع الخبراء حول الخيارات, أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة","التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, أرى مخطط يوضح الغرف و خريطة للمنطقة","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية","طرح الأسئلة و التحدث عن الكاميرا و مميزاتها, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","التصميم و الميزات البصرية, مشاهدة مقاطع فيديو حول كيفية صنع الأشياء","أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف","أتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة",مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/16/2020 18:42:03,أن يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة,"باستخدام أمثلة قمت بها, باستخدام وصف لنتائجي","أستخدم الأمثلة و التطبيقات, أحب التحدث عن الأشياء, أحب رؤية الأنماط في الأشياء","أن أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,"الاستماع, مشاهدة الإجراءات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, التحدث مع الأشخاص الذين يعرفون البرنامج","أقرأ كتيب يصف الخيارات بالتفصيل, أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة","العمل مع التصاميم أو الخرائط أو الرسوم البيانية, التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","أرى مخطط يوضح الغرف و خريطة للمنطقة, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية","استخدام التعليمات المكتوبة حول ما يجب القيام به, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف",أقرأ عن الجولة في خط سير الرحلة,"مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع"
10/16/2020 18:50:33,"يقدم شيء أقرأه يشرح لي سبب المشكلة, يشرح لي سبب المشكلة بنفسه","باستخدام أمثلة قمت بها, من شخص يتناقش معي, باستخدام الرسوم البيانية التي تبين ما حققته","أستخدم الأمثلة و التطبيقات, أحب رؤية الأنماط في الأشياء","أن أقرأ الإرشادات, أن أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها","أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه, أستخدم الخريطة","الاستماع, مشاهدة الإجراءات, رؤية المخططات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ","أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات, أقرأ كتيب يصف الخيارات بالتفصيل","التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","أرى مخطط يوضح الغرف و خريطة للمنطقة, وصف مطبوع للغرف و الميزات",العروض التوضيحية أو الجلسات العملية,"استخدام التعليمات المكتوبة حول ما يجب القيام به, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","فرصة لمناقشة الموضوع, أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف","إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة, أقرأ عن الجولة في خط سير الرحلة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
